"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtbase.examples/widgets/painting/pathstroke",0,597,0.139028475856109,2,10,0,2,0,2,0.5,0.977479588889663,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,4,4,0,0,17,0,17,1,0,1,1,0.8375,0.824305555555556,"qtbase"
"qtbase.examples/widgets/painting/shared",0,1001,0.176823176905412,1,12,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,4,4,0,0,12,0,12,1,0,1,1,0.8,0.826666666666667,"qtbase"
"qtbase.examples/widgets/painting/transformations",0,236,0.101694915634875,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/richtext/calendar",0,133,0.0902255645938154,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/richtext/orderform",0,276,0.0869565220699433,2,12,1,2,0,2,0.5,1,1,1,6,0,6,1,1,1,1,18.0157882708848,18.0157882708848,0.0192800109089256,0.0192800109089256,4,4,0,0,14,0,14,1,0,1,1,0.85,0.822222222222222,"qtbase"
"qtbase.examples/widgets/richtext/syntaxhighlighter",0,186,0.107526882200254,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/richtext/textedit",0,640,0.125000000136719,3,12,1,3,0,3,0.333333333333333,0.978544929456413,1,1,8,0,8,1,2,2,1,2.29487179487179,12.4426422252057,0.000201491033649003,0.0129205042838334,3,3,0,0,15,0,15,1,0,1,1,0.8375,0.818055555555556,"qtbase"
"qtbase.examples/widgets/scroller/graphicsview",0,174,0.137931034978201,2,4,1,2,0,2,0.5,1,1,1,7,0,7,1,1,0,0,278.430852373449,278.430852373449,0.250049241678156,0.250049241678156,2,2,0,0,11,0,11,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/statemachine/eventtransitions",0,46,0.0434782629489603,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/statemachine/factorial",0,97,0.154639176129238,2,4,0,2,0,2,0.5,1,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.733333333333333,0.752083333333333,"qtbase"
"qtbase.examples/widgets/statemachine/pingpong",0,69,0.159420291073304,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/statemachine/rogue",0,238,0.189075630592825,2,16,0,2,0,2,0.5,0.977417518308649,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.733333333333333,0.752083333333333,"qtbase"
"qtbase.examples/widgets/statemachine/trafficlight",0,116,0.129310345578181,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/statemachine/twowaybutton",0,21,0.047619052154195,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/tools/codecs",0,240,0.100000000375,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/completer",0,230,0.113043478646503,2,12,0,2,0,2,0.5,0.976687463710328,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,1,1,0,0,11,0,11,1,0,1,1,0.875,0.847222222222222,"qtbase"
"qtbase.examples/widgets/tools/customcompleter",0,188,0.164893617465482,2,18,0,2,0,2,0.5,0.977209199279191,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,1,1,0,0,11,0,11,1,0,1,1,0.875,0.847222222222222,"qtbase"
"qtbase.examples/widgets/tools/echoplugin/echowindow",0,88,0.113636364643595,1,8,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/echoplugin/plugin",0,12,0.0833333409722222,1,4,0,1,0,1,1,1,1,1,5,0,5,1,0,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/i18n",0,206,0.111650485868131,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,10,0,10,1,0,1,1,1,0.888888888888889,"qtbase"
"qtbase.examples/widgets/tools/plugandpaint",0,534,0.123595505782098,2,20,0,2,0,2,0.5,0.979624933136263,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,1,1,0,0,11,0,11,1,0,1,1,0.875,0.847222222222222,"qtbase"
"qtbase.examples/widgets/tools/plugandpaintplugins/basictools",0,130,0.169230769869822,2,6,0,2,0,2,0.5,0.969022255665134,1,1,6,0,6,1,1,0,0,4613.21835237345,4613.21835237345,0.250049241678156,0.250049241678156,1,1,0,0,10,0,10,1,0,1,1,1,0.888888888888889,"qtbase"
"qtbase.examples/widgets/tools/plugandpaintplugins/extrafilters",0,81,0.209876544185338,1,4,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/regexp",0,159,0.0566037741782366,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/settingseditor",0,861,0.178861788713256,1,18,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/styleplugin/plugin",0,37,0.162162164426589,1,8,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/styleplugin/stylewindow",0,27,0.0740740775034293,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/treemodelcompleter",0,236,0.122881356303864,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/undo",0,882,0.176870748392645,1,14,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,1,1,0,0,8,0,8,1,0,1,1,0.833333333333333,0.833333333333333,"qtbase"
"qtbase.examples/widgets/tools/undoframework",0,366,0.117486339038938,2,22,0,2,0,2,0.5,0.985587520658061,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,1,1,0,0,11,0,11,1,0,1,1,0.875,0.847222222222222,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part1",0,36,0.0833333358796296,2,8,0,2,0,2,0.5,0.976740528474931,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part2",0,115,0.0782608703667297,2,16,0,2,0,2,0.5,0.976740528474931,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part3",0,166,0.0963855427130208,2,28,0,2,0,2,0.5,0.985363656446385,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part4",0,228,0.122807017928593,2,38,0,2,0,2,0.5,0.985363656446385,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part5",0,303,0.11881188147894,2,44,0,2,0,2,0.5,0.981066730951893,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part6",0,368,0.116847826326944,2,42,0,2,0,2,0.5,0.981066730951893,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook-fr/part7",0,416,0.112980769443995,2,40,0,2,0,2,0.5,0.981616712859489,1,1,7,0,7,1,0,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,3,3,0,0,12,0,12,1,0,1,1,0.857142857142857,0.813095238095238,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part1",0,36,0.0833333358796296,2,8,0,2,0,2,0.5,0.97411089529882,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part2",0,115,0.0782608703667297,2,16,0,2,0,2,0.5,0.97411089529882,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part3",0,166,0.0963855427130208,2,28,0,2,0,2,0.5,0.984503417248431,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part4",0,228,0.122807017928593,2,38,0,2,0,2,0.5,0.984503417248431,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part5",0,303,0.11881188147894,2,44,0,2,0,2,0.5,0.979545587391801,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part6",0,368,0.116847826326944,2,42,0,2,0,2,0.5,0.979545587391801,1,1,7,0,7,1,2,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/addressbook/part7",0,416,0.112980769443995,2,40,0,2,0,2,0.5,0.980406322435715,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,3,3,0,0,12,0,12,1,0,1,1,0.857142857142857,0.813095238095238,"qtbase"
"qtbase.examples/widgets/tutorials/gettingStarted/gsQt/part1",0,7,0.142857155102041,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/gettingStarted/gsQt/part2",0,14,0.0714285780612244,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,12,0,12,1,0,1,1,0.761904761904762,0.797619047619048,"qtbase"
"qtbase.examples/widgets/tutorials/gettingStarted/gsQt/part3",0,39,0.10256410486522,2,6,0,2,0,2,0.5,1,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/gettingStarted/gsQt/part4",0,45,0.0888888909135803,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/gettingStarted/gsQt/part5",0,69,0.115942030266751,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,10,0,10,1,0,1,1,0.761904761904762,0.797619047619048,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/1_readonly",0,40,0.150000002125,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/2_formatting",0,73,0.2191780832614,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/3_changingmodel",0,57,0.140350878701139,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/4_headers",0,59,0.203389831858661,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/5_edit",0,91,0.153846154775993,2,12,0,2,0,2,0.5,0.979797571166852,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,3,3,0,0,12,0,12,1,0,1,1,0.857142857142857,0.804620661824052,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/6_treeview",0,50,0.08000000184,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/modelview/7_selections",0,67,0.0746268670527957,2,8,0,2,0,2,0.5,0.97411089529882,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.761904761904762,0.766369047619048,"qtbase"
"qtbase.examples/widgets/tutorials/threads/clock",0,45,0.0888888909135803,1,6,0,1,0,1,1,1,1,1,5,0,5,1,0,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/threads/helloconcurrent",0,12,0.166666673611111,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/threads/hellothread",0,19,0.105263162603878,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/threads/hellothreadpool",0,19,0.105263162603878,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/threads/movedobject",0,113,0.115044248570757,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/widgets/childwidget",0,13,0.0769230840236686,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/widgets/nestedlayouts",0,44,0.0227272749483471,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/widgets/toplevel",0,10,0.100000009,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/tutorials/widgets/windowlayout",0,15,0.0666666728888888,1,2,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.73015873015873,"qtbase"
"qtbase.examples/widgets/widgets/analogclock",0,68,0.0882352954584775,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/calculator",0,325,0.160000000258462,2,12,0,2,0,2,0.5,0.981382632116924,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,3,3,0,0,15,0,15,1,0,1,1,0.8,0.789166666666667,"qtbase"
"qtbase.examples/widgets/widgets/calendarwidget",0,401,0.0773067333971804,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,15,0,15,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
"qtbase.examples/widgets/widgets/charactermap",0,264,0.102272727612775,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,12,0,12,1,0,1,1,0.733333333333333,0.781133919843597,"qtbase"
"qtbase.examples/widgets/widgets/codeeditor",0,121,0.140495868478929,2,10,0,2,0,2,0.5,0.97411089529882,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,2,2,0,0,11,0,11,1,0,1,1,0.733333333333333,0.752083333333333,"qtbase"
"qtbase.examples/widgets/widgets/digitalclock",0,34,0.117647061418685,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/elidedlabel",0,164,0.0853658542162403,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,12,0,12,1,0,1,1,0.733333333333333,0.767708333333333,"qtbase"
"qtbase.examples/widgets/widgets/groupbox",0,119,0.0588235302026693,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/icons",0,524,0.127862595586286,1,18,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/imageviewer",0,212,0.0943396230687077,2,8,1,2,0,2,0.5,1,1,1,6,0,6,1,1,1,1,18.0157882708848,18.0157882708848,0.0192800109089256,0.0192800109089256,2,2,0,0,10,0,10,1,0,1,1,0.733333333333333,0.758333333333333,"qtbase"
"qtbase.examples/widgets/widgets/lineedits",0,190,0.126315789933518,2,11,0,2,0,2,0.5,0.97411089529882,1,1,8,0,8,1,2,0,0,1959.72549523059,1959.72549523059,0.0625492416781564,0.0625492416781564,2,2,0,0,11,0,11,1,0,1,1,0.733333333333333,0.781415174765558,"qtbase"
"qtbase.examples/widgets/widgets/mousebuttons",0,181,0.530386740590946,3,71,1,3,0,3,0.333333333333333,1,1,1,8,0,8,1,1,1,0,33.7367047468978,384.695911296932,0.0163934426229508,0.0221639753264212,2,2,0,0,13,0,13,1,0,1,1,0.8,0.826666666666667,"qtbase"
"qtbase.examples/widgets/widgets/movie",0,188,0.0797872345320281,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/scribble",0,336,0.136904762161635,3,14,1,3,0,3,0.333333333333333,0.979624933136263,1,1,8,0,8,1,2,2,1,2.29487179487179,12.4426422252057,0.000201491033649003,0.0129205042838334,3,3,0,0,15,0,15,1,0,1,1,0.8375,0.801388888888889,"qtbase"
"qtbase.examples/widgets/widgets/shapedclock",0,105,0.114285715129252,1,6,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/sliders",0,190,0.0578947373379501,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/spinboxes",0,181,0.0497237574310918,2,16,0,2,0,2,0.5,0.97411089529882,0.5,0.375,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/styles",0,469,0.09381663132328,2,14,0,2,0,2,0.5,0.980406569630895,1,1,7,0,7,1,1,1,0,17.5165274403727,17.5165274403727,0.000149987194980893,0.000149987194980893,4,4,0,0,14,0,14,1,0,1,1,0.8375,0.831327789092555,"qtbase"
"qtbase.examples/widgets/widgets/stylesheet",0,98,0.112244898865056,2,12,1,1,0,1,1,1,1,1,7,0,7,1,1,0,0,154.043083556245,154.043083556245,0.00811375780718865,0.00811375780718865,2,2,0,0,10,0,10,1,0,1,1,0.733333333333333,0.775757575757576,"qtbase"
"qtbase.examples/widgets/widgets/tablet",0,482,0.151452282333724,1,14,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/tetrix",0,489,0.182004090146829,1,14,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/tooltips",0,278,0.136690647792557,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,2,2,0,0,8,0,8,1,0,1,1,0.666666666666667,0.711111111111111,"qtbase"
"qtbase.examples/widgets/widgets/validators",0,145,0.117241379919144,1,10,0,1,0,1,1,1,1,1,5,0,5,1,1,0,0,33.7367047468978,33.7367047468978,9.84833563127831e-05,9.84833563127831e-05,3,3,0,0,11,0,11,1,0,1,1,0.733333333333333,0.783333333333333,"qtbase"
